PLATO BUSCADO: frejosssssssssss 	 DISTRITO: TODOS LOS DISTRITOS
PLATO BUSCADO: camoteee 	 DISTRITO: TODOS LOS DISTRITOS
PLATO BUSCADO: camoteee 	 DISTRITO: TODOS LOS DISTRITOS
camoteee 	 , TODOS LOS DISTRITOS
ceviche 	 , TODOS LOS DISTRITOS
ceviche , TODOS LOS DISTRITOS
ceviche , TODOS LOS DISTRITOS
arroz con mariscos , todos los distritos
lomo saltado , todos los distritos
makis , TODOS LOS DISTRITOS
lomo , INDEPENDENCIA
lomo , INDEPENDENCIA
arroz con mariscos , TODOS LOS DISTRITOS
arroz con mariscos , LINCE
arroz con mariscos , CHORRILLOS
ceviche , TODOS LOS DISTRITOS
